applicant_id,year,loan_limit,approv_in_adv,loan_type,loan_purpose,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,submission_of_application,region,application_status
41486,2019,cf,nopre,type1,p4,686500,3.75,0.1756,15850,360,not_inst,North,0
41487,2019,cf,nopre,type1,p4,256500,3.75,0.0546,3700.5,180,to_inst,North,0
41488,2019,cf,nopre,type1,p4,486500,3.375,-0.243,0,360,not_inst,south,0
41489,2019,cf,nopre,type1,p3,556500,4.18,0.1793,3093.95,360,not_inst,North,0
41490,2019,cf,nopre,type3,p3,306500,2.875,-0.7848,3093.85,360,not_inst,south,0
41491,2019,cf,nopre,type1,p3,256500,3.5,-0.064,1491.5,360,not_inst,south,0
41492,2019,cf,nopre,type3,p4,286500,,,,360,to_inst,south,1
41493,2019,cf,pre,type1,p4,216500,3.375,0.1561,7229.86,360,to_inst,North,0
41494,2019,cf,nopre,type1,p4,326500,3.625,0.097,0,360,not_inst,south,0
41495,2019,cf,nopre,type1,p1,486500,3.99,0.5334,0,324,not_inst,south,0
41496,2019,cf,pre,type1,p3,156500,3.75,0.2194,4427.5,348,to_inst,North,0
41497,2019,cf,nopre,type1,p4,406500,3.5,-0.1782,0,336,not_inst,North,0
41498,2019,cf,nopre,type3,p1,216500,,,,360,not_inst,North,1
41499,2019,cf,nopre,type1,p4,206500,3.25,0.4178,4040,240,to_inst,south,0
41500,2019,cf,nopre,type2,p4,446500,3.49,0.7782,0,360,not_inst,North,0
41501,2019,cf,pre,type2,p4,186500,4.25,0.9048,0,360,to_inst,south,0
41502,2019,cf,nopre,type1,p4,296500,3.5,-0.0286,6363.1,360,to_inst,central,0
41503,2019,cf,nopre,type1,p3,576500,3.99,0.5387,19884.85,360,to_inst,central,0
41504,2019,cf,nopre,type1,p1,456500,4.625,0.8152,7365.28,360,to_inst,North,0
41505,2019,cf,nopre,type1,p3,226500,,,,360,to_inst,North,1
41506,2019,cf,nopre,type1,p4,306500,3.75,0.1636,2631.5,360,to_inst,south,0
41507,2019,cf,nopre,type1,p4,556500,3.99,0.3435,7634.57,360,to_inst,south,0
41508,2019,cf,nopre,type1,p4,526500,4.25,0.19,1495,360,not_inst,North,0
41509,2019,cf,nopre,type1,p4,286500,3.625,0.1632,7611.88,360,to_inst,south,0
41510,2019,cf,pre,type2,p3,196500,3.99,1.3127,3566.56,360,to_inst,south,0
41511,2019,cf,pre,type1,p1,206500,,,,360,not_inst,south,1
41512,2019,cf,nopre,type1,p4,206500,2.99,0.1938,5156.4,180,to_inst,North,0
41513,2019,cf,nopre,type2,p3,46500,3.625,1.081,1722.29,360,to_inst,North,0
41514,2019,cf,nopre,type1,p4,636500,3.875,-0.1976,1148.04,360,not_inst,south,0
41515,2019,cf,nopre,type1,p3,476500,,,,300,not_inst,North,1
41516,2019,cf,nopre,type1,p2,246500,,,,360,to_inst,North,1
41517,2019,cf,nopre,type2,p4,156500,,,,360,to_inst,central,1
41518,2019,cf,nopre,type1,p3,276500,4.75,0.31,450.84,360,not_inst,North,0
41519,2019,cf,pre,type2,p3,156500,3.99,0.8341,0,360,to_inst,North,0
41520,2019,cf,nopre,type1,p3,216500,3.99,0.2489,459.75,360,not_inst,North,0
41521,2019,cf,nopre,type1,p4,456500,3.125,0.1567,9693.88,180,to_inst,North,0
41522,2019,cf,nopre,type1,p4,566500,3.75,0.2211,7642.25,360,to_inst,south,0
41523,2019,cf,nopre,type1,p3,116500,4.375,0.9359,3414,360,to_inst,south,0
41524,2019,cf,nopre,type1,p3,396500,3.75,0.1069,8286,360,to_inst,North,0
41525,2019,cf,nopre,type1,p3,316500,4.18,0.1301,5901.52,360,to_inst,south,0
41526,2019,,nopre,type1,p3,326500,,,,360,to_inst,North,1
41527,2019,cf,nopre,type1,p4,646500,3.625,0.0199,1663,360,not_inst,North,0
41528,2019,ncf,nopre,type1,p4,1256500,3.625,0.0456,629.35,360,to_inst,North,0
41529,2019,cf,nopre,type3,p4,466500,3,-0.5876,512.52,360,not_inst,south,0
41530,2019,,nopre,type1,p2,216500,5.125,1.4192,3090.63,360,not_inst,south,0
41531,2019,cf,nopre,type1,p4,166500,3.75,0.3703,4223.56,360,to_inst,North,0
41532,2019,ncf,pre,type1,p4,216500,3.875,0.5826,5231,240,to_inst,south,0
41533,2019,cf,nopre,type1,p1,166500,5.5,1.4,4715,360,to_inst,south,0
41534,2019,cf,nopre,type2,p3,66500,,,,240,to_inst,south,1
41535,2019,cf,nopre,type1,p1,406500,3.625,0.1897,464.4,360,not_inst,North,0
41536,2019,cf,nopre,type1,p4,386500,3.625,-0.0068,0,360,not_inst,south,0
41537,2019,cf,nopre,type1,p3,156500,3.75,1.0418,4583.38,180,to_inst,south,0
41538,2019,cf,pre,type2,p3,416500,3.875,0.8946,4242.91,360,to_inst,North,0
41539,2019,ncf,pre,type1,p2,106500,6.24,1.312,,360,to_inst,central,0
41540,2019,cf,nopre,type1,p4,356500,4,-0.2457,809.4,360,not_inst,south,0
41541,2019,cf,nopre,type1,p3,206500,4.25,-0.1616,371.96,360,not_inst,North,0
41542,2019,cf,nopre,type2,p1,136500,5.25,1.9197,442.75,360,to_inst,North,0
41543,2019,cf,nopre,type1,p1,436500,,,,360,to_inst,North,1
41544,2019,cf,nopre,type1,p1,136500,,,,360,to_inst,North,1
41545,2019,cf,pre,type1,p4,526500,4.125,0.5014,0,360,not_inst,North,0
41546,2019,cf,nopre,type1,p3,406500,4,-0.1321,808,360,not_inst,south,0
41547,2019,cf,nopre,type1,p4,436500,3.125,0.0604,0,180,not_inst,south,0
41548,2019,cf,nopre,type1,p4,226500,3.75,0.0818,2105.94,360,to_inst,south,0
41549,2019,cf,nopre,type1,p4,356500,3.25,-0.1994,2125,360,to_inst,North,0
41550,2019,cf,nopre,type1,p1,316500,3.625,-0.1754,0,360,not_inst,south,0
41551,2019,ncf,pre,type1,p1,926500,3.25,-0.1848,4715,360,to_inst,south,0
41552,2019,ncf,nopre,type1,p4,586500,3.5,-0.2453,1250,360,to_inst,central,0
41553,2019,ncf,nopre,type2,p1,446500,3.99,0.846,0,360,not_inst,North,0
41554,2019,cf,nopre,type1,p4,456500,3.99,-0.0776,397.08,360,not_inst,North,0
41555,2019,cf,nopre,type1,p3,306500,3.25,-0.2686,9473.73,360,not_inst,central,0
41556,2019,ncf,pre,type1,p1,196500,3.875,0.4091,3244.05,360,to_inst,North,0
41557,2019,cf,nopre,type3,p3,226500,3.99,0.535,3305.97,360,to_inst,south,0
41558,2019,cf,pre,type1,p1,676500,5.375,0.6549,4243.75,324,to_inst,south,0
41559,2019,ncf,nopre,type3,p4,806500,,,,360,not_inst,central,1
41560,2019,cf,nopre,type1,p4,256500,3.875,0.0202,3684.97,180,to_inst,North,0
41561,2019,cf,pre,type2,p2,86500,4.625,1.9429,1281.67,360,to_inst,south,0
41562,2019,cf,nopre,type2,p4,316500,3.75,0.2097,0,360,not_inst,south,0
41563,2019,cf,nopre,type1,p4,586500,3.625,0.0546,8730,360,not_inst,North,0
41564,2019,cf,nopre,type1,p3,116500,,,,180,to_inst,North,1
41565,2019,cf,pre,type1,p4,276500,3.625,-0.1864,1288.72,360,not_inst,North,0
41566,2019,cf,nopre,type1,p4,536500,,,,360,not_inst,south,1
41567,2019,ncf,nopre,type3,p3,206500,4.25,0.5136,3480.99,360,to_inst,south,0
41568,2019,cf,nopre,type1,p3,136500,3.75,0.3114,3822.5,360,to_inst,North,0
41569,2019,cf,pre,type1,p3,196500,,,,360,not_inst,North,1
41570,2019,cf,nopre,type1,p3,446500,3.75,0.2162,9147.03,360,not_inst,south,0
41571,2019,cf,nopre,type1,p4,386500,3.25,-0.0205,1271.84,180,not_inst,North,0
41572,2019,cf,nopre,type1,p4,506500,3.375,-0.1579,8804,360,not_inst,central,0
41573,2019,cf,pre,type1,p4,116500,4.5,1.1656,,360,to_inst,North,0
41574,2019,cf,nopre,type2,p1,496500,4.75,1.2727,0,360,not_inst,North,0
41575,2019,cf,nopre,type2,p4,106500,,,,300,to_inst,North,1
41576,2019,cf,nopre,type1,p1,486500,,,,360,to_inst,south,1
41577,2019,cf,pre,type1,p1,96500,,,,180,not_inst,North,1
41578,2019,cf,nopre,type1,p3,166500,4.75,0.6633,3532.75,360,to_inst,North,0
41579,2019,cf,pre,type2,p1,256500,4.375,1.6109,3177.48,360,to_inst,North,0
41580,2019,cf,nopre,type1,p4,376500,4.56,0.5082,1150,360,to_inst,south,0
41581,2019,cf,nopre,type1,p4,396500,4.25,-0.138,0,360,not_inst,North,0
41582,2019,ncf,nopre,type1,p4,1286500,4.125,0.6247,8280.86,360,not_inst,North,0
41583,2019,cf,pre,type2,p3,76500,3.25,1.5365,2629.52,180,to_inst,North,0
41584,2019,cf,nopre,type2,p4,386500,,,,360,to_inst,south,1
41585,2019,cf,nopre,type1,p3,96500,4.5,1.0634,2162,360,not_inst,North,0
41586,2019,cf,nopre,type1,p3,226500,,,,360,to_inst,south,1
41587,2019,cf,nopre,type1,p4,386500,3.99,1.0428,4130,240,to_inst,south,0
41588,2019,cf,nopre,type1,p3,536500,,,,300,to_inst,North,1
41589,2019,cf,nopre,type1,p3,156500,4.18,0.0889,3025,360,to_inst,North,0
41590,2019,cf,nopre,type1,p3,166500,4.5,1.0179,4133,360,to_inst,North,0
41591,2019,cf,nopre,type2,p4,196500,3.49,0.7916,0,360,not_inst,North,0
41592,2019,cf,nopre,type1,p3,156500,,,,360,to_inst,North,1
41593,2019,cf,pre,type1,p3,316500,4.75,0.4731,3112.5,360,to_inst,North,0
41594,2019,cf,nopre,type1,p3,346500,3.875,0.2571,2527.79,360,to_inst,North,0
41595,2019,cf,pre,type1,p4,466500,4.5,0.319,1940,360,not_inst,south,0
41596,2019,cf,nopre,type1,p3,466500,3.5,-0.1012,1284.2,360,not_inst,south,0
41597,2019,cf,nopre,type1,p3,136500,,,,360,to_inst,south,1
41598,2019,cf,nopre,type1,p1,96500,4.125,1.08,2243.7,360,to_inst,North,0
41599,2019,cf,nopre,type2,p4,216500,3.75,0.7423,0,360,not_inst,North,0
41600,2019,cf,nopre,type1,p3,156500,3.875,1.0865,,156,to_inst,North,0
41601,2019,ncf,nopre,type1,p4,166500,,,,180,to_inst,south,1
41602,2019,cf,nopre,type1,p1,86500,4.175,0.47,2423.1,360,to_inst,North,0
41603,2019,cf,nopre,type1,p3,86500,5.25,1.1325,2271.73,360,to_inst,North,0
41604,2019,cf,pre,type2,p1,506500,4,1.2057,0,360,not_inst,North,0
41605,2019,cf,nopre,type1,p4,276500,4.125,-0.1796,1894.76,360,not_inst,North,0
41606,2019,cf,nopre,type1,p3,486500,4.25,1.0755,1250,240,to_inst,North,0
41607,2019,cf,nopre,type1,p4,206500,2.99,0.248,4004.13,180,to_inst,south,0
41608,2019,cf,pre,type1,p3,786500,,,,360,not_inst,south,1
41609,2019,cf,nopre,type3,p4,376500,,,,360,not_inst,North,1
41610,2019,cf,,type3,p4,156500,3.625,-0.1662,0,360,to_inst,south,0
41611,2019,cf,pre,type1,p3,156500,3.99,0.5992,3500,360,to_inst,North,0
41612,2019,ncf,nopre,type3,p3,996500,2.75,-0.5963,12989.99,360,not_inst,south,0
41613,2019,cf,nopre,type1,p3,406500,4.99,0.566,1890,360,not_inst,North,0
41614,2019,cf,nopre,type1,p3,256500,3.99,0.3603,4587.5,180,to_inst,south,0
41615,2019,cf,nopre,type1,p1,156500,4.375,1.1191,3160,240,to_inst,North,0
41616,2019,cf,pre,type1,p4,146500,3.875,0.614,2829.41,180,to_inst,south,0
41617,2019,cf,nopre,type1,p3,426500,4.875,0.477,0,360,not_inst,North,0
41618,2019,cf,nopre,type3,p3,186500,,,,180,to_inst,North,1
41619,2019,cf,nopre,type1,p4,216500,3.875,0.2202,605.1,360,not_inst,North,0
41620,2019,cf,nopre,type1,p4,336500,3.875,0.4087,4716.96,360,to_inst,south,0
41621,2019,cf,nopre,type1,p3,286500,,,,360,to_inst,south,1
41622,2019,cf,nopre,type2,p4,196500,4.375,1.5134,2624.28,180,to_inst,North,0
41623,2019,cf,pre,type2,p1,236500,4.5,1.714,0,360,not_inst,North,0
41624,2019,cf,pre,type1,p4,366500,4.5,0.633,0,360,not_inst,North,0
41625,2019,cf,nopre,type3,p3,566500,4.25,0.4748,0,360,not_inst,North,0
41626,2019,cf,nopre,type1,p4,316500,,,,360,not_inst,North-East,1
41627,2019,cf,pre,type1,p3,406500,,,,360,to_inst,south,1
41628,2019,cf,pre,type1,p1,136500,3.99,0.7461,3594.13,360,to_inst,North,0
41629,2019,cf,pre,type1,p3,446500,4.25,1.4661,7955,180,to_inst,central,0
41630,2019,cf,nopre,type2,p4,186500,4.5,1.6371,0,360,to_inst,North,0
41631,2019,cf,nopre,type1,p1,296500,3.99,0.1803,0,360,to_inst,south,0
41632,2019,cf,nopre,type1,p3,166500,5.75,1.3588,648.47,360,to_inst,south,0
41633,2019,cf,pre,type2,p3,506500,4.75,1.2005,0,360,not_inst,North,0
41634,2019,cf,nopre,type1,p3,116500,5.375,1.4389,2637.5,360,to_inst,North,0
41635,2019,cf,nopre,type3,p4,216500,3.5,-0.2341,896.4,360,to_inst,south,0
41636,2019,cf,nopre,type1,p4,316500,3.5,-0.0686,1433.7,360,not_inst,North,0
41637,2019,cf,nopre,type3,p3,156500,,,,360,to_inst,North,1
41638,2019,cf,nopre,type1,p3,356500,4.125,0.5048,3447.5,360,to_inst,North,0
41639,2019,cf,pre,type2,p4,266500,3.5,0.9583,0,360,to_inst,North,0
41640,2019,cf,nopre,type1,p3,136500,3.5,1.0951,5333.47,96,to_inst,North,0
41641,2019,ncf,pre,type1,p1,156500,4.99,1.3599,1625.88,360,to_inst,south,0
41642,2019,cf,nopre,type1,p4,696500,4.125,0.2647,7810,360,not_inst,central,0
41643,2019,cf,nopre,type1,p3,526500,,,,360,to_inst,south,1
41644,2019,cf,nopre,type2,p1,76500,4.25,1.5622,1817.33,360,to_inst,North,0
41645,2019,cf,nopre,type3,p3,496500,4.25,0.1204,0,360,not_inst,North,0
41646,2019,cf,nopre,type1,p2,76500,,,,360,to_inst,North,1
41647,2019,cf,nopre,type1,p3,326500,5.375,1.3672,7343.75,360,to_inst,south,0
41648,2019,cf,nopre,type1,p4,596500,3.875,0.2949,161.1,360,not_inst,North,0
41649,2019,cf,nopre,type1,p3,576500,,,,360,to_inst,south,1
41650,2019,cf,nopre,type1,p4,396500,3.875,0.3703,4710.63,360,to_inst,central,0
41651,2019,ncf,nopre,type1,p3,146500,3.625,0.5352,3434,180,to_inst,North,0
41652,2019,cf,nopre,type1,p1,196500,3.99,0.9096,3151.2,360,to_inst,North,0
41653,2019,cf,nopre,type1,p4,306500,3.375,0.4842,1913.26,180,not_inst,south,0
41654,2019,cf,nopre,type1,p4,666500,3.75,0.0493,733.9,360,not_inst,south,0
41655,2019,cf,nopre,type1,p4,86500,4.99,0.6431,2302.15,360,to_inst,North,0
41656,2019,cf,nopre,type1,p4,226500,2.99,0.193,6161.55,180,to_inst,south,0
41657,2019,cf,nopre,type1,p3,186500,3.375,0.4621,6545.75,144,to_inst,North,0
41658,2019,ncf,nopre,type1,p1,236500,4.875,1.0989,1250,360,to_inst,North,0
41659,2019,cf,nopre,type1,p3,146500,3.99,0.5488,4972.5,360,to_inst,south,0
41660,2019,cf,nopre,type2,p4,366500,3.375,0.7422,0,360,not_inst,North,0
41661,2019,cf,nopre,type1,p3,406500,,,,180,not_inst,North,1
41662,2019,cf,nopre,type2,p3,176500,3.99,0.9973,1216.94,360,to_inst,south,0
41663,2019,ncf,nopre,type1,p4,986500,,,,360,to_inst,North,1
41664,2019,cf,pre,type1,p4,486500,3.99,0.3259,0,360,not_inst,south,0
41665,2019,cf,nopre,type1,p3,176500,4.125,0.3056,5154,360,to_inst,North,0
41666,2019,cf,nopre,type2,p3,156500,3.5,0.9523,4756.81,360,to_inst,south,0
41667,2019,cf,nopre,type1,p1,256500,,,,360,to_inst,central,1
41668,2019,cf,nopre,type1,p3,226500,3.625,0.3978,6875,360,to_inst,south,0
41669,2019,cf,nopre,type3,p4,536500,3.25,-0.3984,0,360,not_inst,North,0
41670,2019,cf,nopre,type1,p2,126500,4.625,1.3487,3525,360,to_inst,south,0
41671,2019,cf,pre,type1,p4,186500,,,,180,to_inst,south,1
41672,2019,cf,pre,type1,p3,216500,4.75,0.664,6725,360,to_inst,North,0
41673,2019,cf,nopre,type1,p4,376500,,,,324,to_inst,North,1
41674,2019,cf,nopre,type1,p3,146500,3.99,1.0634,3332.13,240,to_inst,North,0
41675,2019,cf,pre,type1,p4,266500,3.625,-0.1472,0,360,not_inst,North,0
41676,2019,cf,nopre,type1,p4,516500,4,-0.098,0,360,not_inst,south,0
41677,2019,cf,nopre,type1,p1,396500,4.125,0.0059,1146.41,360,not_inst,North,0
41678,2019,cf,nopre,type1,p3,426500,3.625,-0.0309,188.6,360,not_inst,south,0
41679,2019,cf,nopre,type1,p4,276500,4.25,0.8269,9876.31,324,to_inst,south,0
41680,2019,cf,nopre,type1,p3,206500,4.56,0.9044,4022.5,360,to_inst,south,0
41681,2019,cf,nopre,type1,p1,406500,4,0.5705,3312.9,360,not_inst,North,0
41682,2019,cf,nopre,type1,p3,656500,,,,360,not_inst,south,1
41683,2019,cf,nopre,type2,p3,316500,3.5,0.6807,7775.92,324,to_inst,south,0
41684,2019,cf,nopre,type1,p3,386500,,,,360,to_inst,North,1
41685,2019,cf,nopre,type2,p4,306500,,,,360,to_inst,North,1
41686,2019,cf,pre,type1,p1,176500,5.625,1.4806,5315,360,to_inst,south,0
41687,2019,cf,nopre,type3,p4,326500,3.125,-0.4262,2742.62,360,to_inst,North,0
41688,2019,cf,pre,type1,p1,96500,,,,360,to_inst,North,1
41689,2019,cf,nopre,type1,p1,476500,,,,360,to_inst,central,1
41690,2019,cf,nopre,type3,p3,106500,3.875,0.2446,1939.88,360,to_inst,North,0
41691,2019,cf,nopre,type1,p3,286500,4.25,0.5002,2938.13,180,to_inst,south,0
41692,2019,cf,nopre,type1,p3,456500,3.625,0.155,6480,360,not_inst,North,0
41693,2019,cf,pre,type3,p3,216500,3.875,0.5333,3496.95,360,to_inst,North,0
41694,2019,cf,nopre,type1,p4,336500,3.375,0.3271,1250,180,to_inst,North,0
41695,2019,cf,nopre,type1,p4,296500,3.99,0.5023,2351,360,to_inst,south,0
41696,2019,cf,nopre,type1,p2,86500,,,,360,to_inst,south,1
41697,2019,cf,nopre,type2,p4,286500,3.5,0.5269,0,360,not_inst,North,0
41698,2019,cf,nopre,type1,p1,446500,,,,360,to_inst,North,1
41699,2019,cf,nopre,type1,p4,566500,,,,360,to_inst,south,1
41700,2019,cf,nopre,type3,p4,326500,3.25,-0.6979,2788.48,300,to_inst,central,0
41701,2019,cf,nopre,type1,p3,96500,,,,360,to_inst,south,1
41702,2019,cf,nopre,type1,p4,216500,,,,180,to_inst,south,1
41703,2019,cf,pre,type1,p4,276500,,,,180,to_inst,central,1
41704,2019,cf,nopre,type1,p4,346500,3.875,0.4173,6788.39,360,to_inst,south,0
41705,2019,cf,nopre,type3,p3,206500,3.75,0.1989,480,360,to_inst,North,0
41706,2019,cf,nopre,type3,p3,106500,,,,180,to_inst,south,1
41707,2019,cf,nopre,type1,p3,226500,4.56,0.1282,3125.75,360,to_inst,North,0
41708,2019,cf,nopre,type1,p4,296500,3.99,0.4343,3457.25,324,to_inst,south,0
41709,2019,cf,nopre,type1,p4,556500,4.25,0.2487,12448,360,to_inst,south,0
41710,2019,cf,nopre,type1,p3,106500,,,,360,to_inst,south,1
41711,2019,cf,nopre,type1,p4,376500,3.5,-0.0413,582.19,360,not_inst,North,0
41712,2019,cf,pre,type1,p4,676500,4.125,0.374,1930,360,not_inst,North,0
41713,2019,cf,nopre,type1,p4,156500,4.625,0.4652,3066.25,360,to_inst,south,0
41714,2019,cf,pre,type3,p4,406500,3.375,-0.316,3891.85,360,to_inst,south,0
41715,2019,ncf,pre,type1,p3,686500,5.125,1.0634,735.62,360,not_inst,North,0
41716,2019,cf,nopre,type3,p3,186500,,,,180,to_inst,North,1
41717,2019,ncf,nopre,type1,p4,486500,4.375,0.197,0,360,not_inst,North,0
41718,2019,cf,nopre,type1,p4,96500,,,,360,to_inst,south,1
41719,2019,cf,nopre,type1,p4,676500,4.5,0.0338,0,360,not_inst,south,0
41720,2019,cf,nopre,type1,p4,386500,4.375,-0.103,0,360,not_inst,North,0
41721,2019,cf,nopre,type3,p4,356500,2.875,-0.7535,3902.73,360,to_inst,North,0
41722,2019,cf,nopre,type1,p3,416500,4.625,0.7606,0,360,to_inst,North,0
41723,2019,cf,nopre,type1,p1,466500,,,,360,to_inst,south,1
41724,2019,cf,nopre,type2,p1,446500,,,,360,not_inst,North,1
41725,2019,cf,nopre,type1,p4,266500,3.99,0.335,1796.41,360,not_inst,south,0
41726,2019,cf,nopre,type1,p3,166500,3.99,-0.0554,1400,360,to_inst,south,0
41727,2019,ncf,nopre,type2,p1,726500,,,,360,not_inst,North,1
41728,2019,cf,pre,type1,p1,306500,4.99,0.8885,1150,360,to_inst,North,0
41729,2019,cf,nopre,type1,p1,366500,4.875,0.8003,0,360,not_inst,south,0
41730,2019,cf,nopre,type1,p1,606500,3.875,-0.3827,6000,360,not_inst,North,0
41731,2019,cf,nopre,type1,p4,426500,3.5,0.167,9753.5,360,to_inst,North-East,0
41732,2019,,nopre,type1,p1,216500,,,,360,not_inst,North,1
41733,2019,cf,nopre,type1,p4,246500,3.99,0.0753,3208.33,360,to_inst,North,0
41734,2019,ncf,nopre,type3,p4,576500,4.125,0.2737,0,360,not_inst,North,0
41735,2019,cf,pre,type1,p3,276500,4.125,0.547,6632.79,360,to_inst,North,0
41736,2019,cf,nopre,type3,p3,266500,3.625,0.213,0,360,not_inst,North,0
41737,2019,ncf,nopre,type1,p4,826500,4.25,0.1197,3242.01,360,not_inst,North,0
41738,2019,cf,nopre,type1,p4,226500,3.5,0.0981,3145.3,180,not_inst,south,0
41739,2019,cf,nopre,type2,p4,376500,,,,180,to_inst,south,1
41740,2019,ncf,nopre,type3,p4,636500,2.99,-0.7905,2522.16,360,to_inst,south,0
41741,2019,cf,nopre,type1,p4,336500,3.25,0.2811,1559.9,180,not_inst,south,0
41742,2019,cf,nopre,type2,p3,266500,3.875,0.5901,,360,to_inst,North,0
41743,2019,,nopre,type1,p4,346500,,,,360,not_inst,North,1
41744,2019,cf,nopre,type1,p1,386500,3.875,0.2955,181.05,360,not_inst,North,0
41745,2019,cf,nopre,type1,p4,506500,3.99,0.291,0,360,to_inst,North,0
41746,2019,cf,nopre,type1,p4,386500,,,,360,not_inst,south,1
41747,2019,cf,pre,type1,p1,226500,4.56,0.4372,1350,360,to_inst,North,0
41748,2019,cf,nopre,type3,p4,226500,2.99,-0.6476,3913.21,360,to_inst,south,0
41749,2019,cf,nopre,type1,p4,446500,3.99,0.5187,8503.59,324,to_inst,south,0
41750,2019,cf,pre,type1,p4,146500,3.875,0.45,3553.44,360,to_inst,North,0
41751,2019,cf,nopre,type1,p1,316500,4.25,0.488,0,360,not_inst,North,0
41752,2019,cf,pre,type1,p1,316500,3.875,0.0344,6466,360,to_inst,south,0
41753,2019,cf,nopre,type3,p4,276500,2.99,-0.7421,1699.02,360,to_inst,North,0
41754,2019,cf,nopre,type1,p4,446500,4.5,0.4233,0,360,not_inst,North,0
41755,2019,cf,nopre,type1,p3,306500,3.5,0.6668,4479.11,180,not_inst,North,0
41756,2019,cf,nopre,type1,p1,106500,3.5,0.4186,1861,360,not_inst,North,0
41757,2019,cf,nopre,type1,p3,166500,4.25,0.7073,750,180,to_inst,North,0
41758,2019,cf,nopre,type1,p3,276500,4.75,0.3404,550,360,to_inst,North,0
41759,2019,cf,nopre,type1,p1,106500,5.75,2.0677,2575,360,to_inst,North,0
41760,2019,cf,nopre,type1,p4,136500,4.75,0.5214,4666.59,360,to_inst,North,0
41761,2019,cf,nopre,type2,p3,176500,4.625,1.0752,2568.65,360,to_inst,south,0
41762,2019,ncf,pre,type1,p2,486500,3.55,-0.0955,295,360,to_inst,North,0
41763,2019,cf,pre,type3,p3,336500,,,,360,to_inst,North,1
41764,2019,,nopre,type1,p3,176500,4.5,1.063,5725,360,to_inst,south,0
41765,2019,cf,nopre,type1,p3,296500,3.99,0.516,10247.75,360,to_inst,North,0
41766,2019,cf,nopre,type3,p1,306500,3.49,-0.128,4956.25,360,to_inst,North,0
41767,2019,cf,nopre,type1,p3,126500,4.25,0.809,3485,240,to_inst,south,0
41768,2019,cf,pre,type1,p1,376500,4.125,0.6332,3584.38,360,to_inst,North,0
41769,2019,cf,nopre,type1,p3,526500,4.5,0.1154,0,360,not_inst,North,0
41770,2019,cf,nopre,type1,p4,186500,,,,360,to_inst,North,1
41771,2019,cf,nopre,type1,p3,686500,,,,180,to_inst,south,1
41772,2019,cf,nopre,type2,p1,236500,4.75,1.5999,1259,360,to_inst,North,0
41773,2019,cf,nopre,type1,p3,286500,3.99,-0.1912,3680.5,360,to_inst,North,0
41774,2019,cf,nopre,type1,p4,586500,3.99,0.2823,0,360,not_inst,North,0
41775,2019,cf,nopre,type1,p3,386500,3.625,0.5972,4619.81,180,to_inst,North,0
41776,2019,cf,nopre,type1,p3,436500,4.75,1.115,10750,360,to_inst,south,0
41777,2019,cf,nopre,type1,p1,206500,3.69,0.1446,1117.65,360,not_inst,south,0
41778,2019,cf,pre,type1,p4,66500,,,,120,to_inst,south,1
41779,2019,cf,nopre,type1,p3,456500,,,,180,to_inst,North,1
41780,2019,cf,nopre,type1,p3,186500,4.99,1.1622,4816,360,to_inst,south,0
41781,2019,cf,nopre,type1,p1,286500,4.5,0.2072,0,360,not_inst,North,0
41782,2019,cf,nopre,type1,p1,376500,3.5,0.0777,3612.5,360,to_inst,south,0
41783,2019,cf,pre,type1,p1,126500,3.75,0.3931,2604.5,360,to_inst,south,0
41784,2019,cf,nopre,type1,p3,256500,4.125,0.5622,5660,360,to_inst,south,0
41785,2019,cf,nopre,type1,p4,326500,4.25,-0.0781,0,360,not_inst,North,0
41786,2019,cf,nopre,type3,p4,466500,3.125,-0.673,0,360,not_inst,North,0
41787,2019,cf,,type1,p3,236500,,,,360,to_inst,North,1
41788,2019,ncf,nopre,type3,p3,776500,3.25,-0.3681,7740,360,not_inst,south,0
41789,2019,cf,nopre,type3,p3,376500,,,,360,to_inst,south,1
41790,2019,cf,pre,type3,p4,486500,3.375,-0.4024,,360,to_inst,south,0
41791,2019,cf,nopre,type1,p4,156500,4.125,0.1453,3915.44,360,to_inst,North,0
41792,2019,ncf,nopre,type1,p3,136500,3.875,0.8771,3882.5,96,to_inst,North,0
41793,2019,cf,nopre,type1,p3,176500,,,,360,to_inst,central,1
41794,2019,cf,nopre,type1,p4,586500,3.5,-0.0867,4429.5,360,not_inst,south,0
41795,2019,cf,nopre,type2,p3,286500,,,,360,to_inst,central,1
41796,2019,cf,nopre,type1,p1,126500,,,,180,to_inst,south,1
41797,2019,cf,nopre,type1,p3,136500,4.5,0.8891,2779.55,360,not_inst,North,0
41798,2019,cf,nopre,type3,p3,236500,4.5,0.3469,5776.43,360,to_inst,south,0
41799,2019,cf,nopre,type1,p3,366500,4.75,1.3969,6370,360,to_inst,south,0
41800,2019,cf,nopre,type2,p1,536500,4.25,1.6887,0,360,not_inst,south,0
41801,2019,cf,nopre,type1,p4,516500,3.625,0.1963,11033.21,360,to_inst,south,0
41802,2019,cf,nopre,type1,p3,306500,,,,180,to_inst,North,1
41803,2019,cf,pre,type1,p1,696500,3.475,-0.3223,0,360,to_inst,North,0
41804,2019,cf,nopre,type1,p4,396500,3.875,0.135,1195,360,not_inst,south,0
41805,2019,cf,nopre,type1,p3,226500,3.875,0.5252,5830,360,to_inst,south,0
